Outlet,Receipt Number,Date,Time,Category,Brand,Items,Variant,SKU,Quantity,Modifier Applied,Discount Applied,Gross Sales,Discounts,Refunds,Net Sales,Gratuity,Tax,Sales Type,Collected By,Served By,Customer,Payment Method,Event Type,Reason of Refund
Pizza Impact,JV1OZ4,31-12-2023,19:31:06,SLICE,Unbranded,Slice Cheese,,,1,,50k for 2 slices 2,30000.0,4736.842,0.0,25263.158,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OZ4,31-12-2023,19:31:06,SLICE,Unbranded,Slice Pepperoni,,,1,,50k for 2 slices 2,35000.0,5526.316,0.0,29473.684,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OZ4,31-12-2023,19:31:06,SLICE,Unbranded,Mac & cheese,,14080,1,,"promo new menu, 50k for 2 slices 2",35000.0,9736.842,0.0,25263.158,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OZ3,31-12-2023,18:49:53,SLICE,Unbranded,Box Slice,,,1,,,3000.0,0.0,0.0,3000.0,0.0,0.0,Dine In,Pizza Impact,,,Cash,Payment,
Pizza Impact,JV1OZ2,31-12-2023,18:19:34,PIE,Unbranded,Full Refund for: JV1OZ2 - MIX,,,-1,,"50k for 2 slices 1, 50k for 2 slices 3",0.0,-30000.0,230000.0,-200000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA,Refund,Accidental Charge
Pizza Impact,JV1OZ2,31-12-2023,18:17:33,PIE,Unbranded,MIX,,,1,,"50k for 2 slices 1, 50k for 2 slices 3",230000.0,30000.0,0.0,200000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA,Payment,
Pizza Impact,JV1OZ1,31-12-2023,18:17:13,PIE,Unbranded,MIX,,,1,,"50k for 2 slices 1, 50k for 2 slices 3",230000.0,30000.0,0.0,200000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA,Payment,
Pizza Impact,JV1OZ0,31-12-2023,18:11:09,SLICE,Unbranded,Slice Pepperoni,,,1,,50k for 2 slices 2,35000.0,8076.923,0.0,26923.077,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OZ0,31-12-2023,18:11:09,SLICE,Unbranded,Slice Cheese,,,1,,50k for 2 slices 2,30000.0,6923.077,0.0,23076.923,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYZ,31-12-2023,17:45:59,PIE,Unbranded,MIX,,,1,,"50k for 2 slices 1, 50k for 2 slices 3",230000.0,30000.0,0.0,200000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYY,31-12-2023,17:41:18,SLICE,Unbranded,Slice Cheese,,,1,,,30000.0,0.0,0.0,30000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYX,31-12-2023,17:38:27,SLICE,Unbranded,Slice Cheese,,,1,,,30000.0,0.0,0.0,30000.0,0.0,0.0,Dine In,Pizza Impact,,,Cash,Payment,
Pizza Impact,JV1OYX,31-12-2023,17:38:27,SLICE,Unbranded,Slice Pepperoni,,,1,,,35000.0,0.0,0.0,35000.0,0.0,0.0,Dine In,Pizza Impact,,,Cash,Payment,
Pizza Impact,JV1OYW,31-12-2023,17:04:37,PIE,Unbranded,MIX,,,1,,,230000.0,0.0,0.0,230000.0,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYV,31-12-2023,14:28:35,SLICE,Unbranded,Slice Cheese,,,1,,50k for 2 slices 2,30000.0,6923.077,0.0,23076.923,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYV,31-12-2023,14:28:35,SLICE,Unbranded,Slice Pepperoni,,,1,,50k for 2 slices 2,35000.0,8076.923,0.0,26923.077,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYU,31-12-2023,14:23:06,SLICE,Unbranded,Slice Cheese,,,1,,50k for 2 slices 2,30000.0,2903.226,0.0,27096.774,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYU,31-12-2023,14:23:06,SLICE,Unbranded,Mac & cheese,,14080,3,,"promo new menu, 50k for 2 slices 2",105000.0,23709.677,0.0,81290.323,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
Pizza Impact,JV1OYU,31-12-2023,14:23:06,SLICE,Unbranded,Slice Pepperoni,,,1,,50k for 2 slices 2,35000.0,3387.097,0.0,31612.903,0.0,0.0,Dine In,Pizza Impact,,,BCA QR,Payment,
